,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",96170,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI
55,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",93931,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
56,"Before You Go","Lewis Capaldi",93314,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
57,Dior,"Pop Smoke",92927,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
58,"death bed (coffee for your head)",Powfu,89310,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
59,"Location (feat. Burna Boy)",Dave,88631,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
60,"Mr. Brightside","The Killers",87773,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
61,"Toosie Slide",Drake,85237,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
62,"Electric Love",BØRNS,84630,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
63,Hallucinate,"Dua Lipa",84085,https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg
64,Giants,"Dermot Kennedy",83406,https://open.spotify.com/track/43CHdbHYdcbUWP10UFKyZ7
65,"Flowers (feat. Jaykae)","Nathan Dawe",82714,https://open.spotify.com/track/5aYWnrsYvJk8NT7PmUcxVN
66,"NIC (feat. Tiggs Da Author)",Nines,82678,https://open.spotify.com/track/5xa6bK1Q2K9gmZiQLJVRVW
67,"Adore You","Harry Styles",82640,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
68,"Chicago Freestyle (feat. Giveon)",Drake,82630,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
69,cardigan,"Taylor Swift",82609,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
70,"This City","Sam Fischer",80385,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
71,"Kings & Queens","Ava Max",78431,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
72,Lonely,"Joel Corry",77773,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
73,"Don't Start Now","Dua Lipa",76926,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
74,"Stuck with U (with Justin Bieber)","Ariana Grande",76907,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
75,Falling,"Harry Styles",76413,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
76,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",74333,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
77,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign",73786,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO
78,"Ice Cream (with Selena Gomez)",BLACKPINK,73570,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
79,"my ex's best friend (with blackbear)","Machine Gun Kelly",73380,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
80,"Bando Diaries",dutchavelli,73342,https://open.spotify.com/track/1gaMQvjO3dKpOGWv5z7Itr
81,"Ladbroke Grove","AJ Tracey",72680,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
82,"Are You Bored Yet? (feat. Clairo)",Wallows,72454,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
83,"Who's That What's That","Niko B",72160,https://open.spotify.com/track/6pRlNmiZ15mI0D0Y9VBjDe
84,Circles,"Post Malone",71701,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
85,"exile (feat. Bon Iver)","Taylor Swift",70958,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
86,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",70840,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
87,"Energy (feat. Skrapz)",Nines,70827,https://open.spotify.com/track/2aDoBbj4MkgwQQR6HJ7G4Y
88,"The Box","Roddy Ricch",70797,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
89,"Break My Heart","Dua Lipa",70515,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
90,"Lets Link",WhoHeem,70099,https://open.spotify.com/track/0wYOlCybpxFc2azWLyYj0S
91,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,69661,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
92,"How Do You Want It (feat. Krept & Konan and Bandokay)",Swarmz,69272,https://open.spotify.com/track/4bo8wLRodh0QSqCdgqbxUs
93,Bruises,"Lewis Capaldi",68982,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
94,"my future","Billie Eilish",68281,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
95,"Tap In",Saweetie,67712,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
96,goosebumps,"Travis Scott",67139,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
97,"POPSTAR (feat. Drake)","DJ Khaled",67008,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
98,"Got It On Me","Pop Smoke",66302,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
99,"Life Is Good (feat. Drake)",Future,65650,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
100,"Burning (feat. M Huncho & Dutchavelli)","GRM Daily",64902,https://open.spotify.com/track/3fAa5d2KhtXJ1gxB1wobQz
101,"Don't Rush (feat. Headie One)","Young T & Bugsey",64692,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT
102,"Godzilla (feat. Juice WRLD)",Eminem,64615,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
103,"All Girls Are The Same","Juice WRLD",64352,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
104,Riptide,"Vance Joy",64101,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
105,"Ringaling (feat. Headie One and Odeal)",Nines,63406,https://open.spotify.com/track/3clsaaFmHO6N6rvr77h68f
106,"No Guidance (feat. Drake)","Chris Brown",63136,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
107,"Dancing in the Moonlight",Toploader,62873,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
108,"Something Special","Pop Smoke",62256,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
109,"HIGHEST IN THE ROOM","Travis Scott",61408,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
110,"Realist (feat. Nafe Smallz and Fundz)",Nines,61355,https://open.spotify.com/track/5zBIDBgvsFuRQzuaMpQrYV
111,"bad guy","Billie Eilish",61092,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
112,"If the World Was Ending - feat. Julia Michaels","JP Saxe",61038,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
113,"Vossi Bop",Stormzy,60403,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
114,"Wonderwall - Remastered",Oasis,60339,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
115,"Do I Wanna Know?","Arctic Monkeys",59926,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
116,"Daily Duppy (feat. GRM Daily)",Fredo,59385,https://open.spotify.com/track/65VcwXOF7IR5YMXGNhfXQI
117,"GO (feat. Juice WRLD)","The Kid LAROI",59276,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
118,"BELIEVE IT",PARTYNEXTDOOR,59240,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
119,Shallow,"Lady Gaga",58511,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
120,Righteous,"Juice WRLD",57561,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
121,"Money Ain’t A Thing (feat. Roy Woods)",Nines,57392,https://open.spotify.com/track/4LBnhul3MrIqFV75cOZOWd
122,"Higher Love",Kygo,57389,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
123,"everything i wanted","Billie Eilish",57007,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
124,"Hold Me While You Wait","Lewis Capaldi",56812,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
125,"M.E.N III","Bugzy Malone",56572,https://open.spotify.com/track/564XWNlr2Z2vM08wXvC4aW
126,"Someone To You",BANNERS,56295,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
